### all pods
NAMESPACE                               NAME                                                              READY   STATUS                   RESTARTS        AGE    IP              NODE                                    NOMINATED NODE   READINESS GATES
longhorn-system                         csi-snapshotter-cfc8b754c-mh59f                                   1/1     Running                  8 (146m ago)    12h    192.168.0.249   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-snapshotter-cfc8b754c-zmzxw                                   1/1     Running                  3 (146m ago)    12h    192.168.0.133   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         engine-image-ei-d6216291-kt99t                                    1/1     Running                  2 (150m ago)    12h    192.168.0.252   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         instance-manager-df5dcd8c254288672bdeae65ff67f8ba                 1/1     Running                  0               146m   192.168.0.146   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         longhorn-csi-plugin-kjw9l                                         3/3     Running                  15 (146m ago)   12h    192.168.0.2     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         longhorn-driver-deployer-78c9b8bb9-8txht                          1/1     Running                  2 (150m ago)    13h    192.168.0.165   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         longhorn-manager-kttsb                                            2/2     Running                  5 (150m ago)    12h    192.168.0.161   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         longhorn-ui-5dc44644d4-7lphc                                      1/1     Running                  5 (146m ago)    13h    192.168.0.39    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         longhorn-ui-5dc44644d4-lxts6                                      1/1     Running                  5 (146m ago)    13h    192.168.0.222   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
metallb-system                          lb-metallb-helm-metallb-full-controller-7857fb5749-tsv6j          1/1     Running                  2 (150m ago)    11h    192.168.0.234   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
metallb-system                          lb-metallb-helm-metallb-full-speaker-2p4s5                        1/1     Running                  3 (150m ago)    11h    172.31.8.99     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
monitoring                              prometheus-operator-kube-prometheus-stack-kube-state-metrixb6km   1/1     Running                  0               146m   192.168.0.218   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
monitoring                              prometheus-operator-operator-7754c7fcb5-dbks8                     1/1     Running                  2 (150m ago)    11h    192.168.0.187   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nginx                                   nginx-ingress-nginx-controller-76c59d8ff5-z2ws2                   1/1     Running                  2 (150m ago)    12h    192.168.0.107   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nodeprep-controller                     nodeprep-controller-7ddc69c6d-rltqj                               1/1     Running                  2 (150m ago)    12h    192.168.0.89    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nvidia-dra-driver-gpu                   nvidia-dra-driver-gpu-kubelet-plugin-9qgs4                        1/1     Running                  1 (150m ago)    11h    192.168.0.145   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nvidia-network-operator                 network-operator-6477c867d-x6mxx                                  1/1     Running                  2 (150m ago)    12h    192.168.0.193   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nvidia-network-operator                 network-operator-maintenance-operator-6f4895cdd9-6h7wk            1/1     Running                  2 (150m ago)    12h    192.168.0.185   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nvidia-network-operator                 network-operator-node-feature-discovery-gc-8d9958d86-lmw9q        1/1     Running                  2 (150m ago)    12h    192.168.0.253   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nvidia-network-operator                 network-operator-node-feature-discovery-master-7c6477f9cd-c7x9c   1/1     Running                  0               146m   192.168.0.190   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nvidia-network-operator                 network-operator-node-feature-discovery-worker-x5pjv              1/1     Running                  0               146m   192.168.0.134   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
nvidia-network-operator                 network-operator-sriov-network-operator-588556b894-94q6n          1/1     Running                  0               146m   192.168.0.47    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
palette-system                          palette-webhook-cdc4497f4-58mzc                                   1/1     Running                  2 (150m ago)    12h    192.168.0.157   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           keycloak-0                                                        1/1     Running                  1 (150m ago)    11h    192.168.0.191   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-assets-service-5d5bcc7b64-w8x86                     1/1     Running                  2 (150m ago)    11h    192.168.0.93    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-audit-service-d8db4f7b5-6lhwb                       1/1     Running                  1 (150m ago)    11h    192.168.0.243   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-authorization-79d674cf9b-hpht9                      1/1     Running                  2 (150m ago)    11h    192.168.0.251   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-authorization-migrator-xb9fp                        0/1     Completed                0               10h    <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-backend-7577f86847-w4zbj                            1/1     Running                  1 (150m ago)    11h    192.168.0.163   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-catalog-service-59b797ffcd-cnkr6                    1/1     Running                  1 (150m ago)    11h    192.168.0.64    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-cli-exposer-68bf486567-x2wts                        1/1     Running                  0               146m   192.168.0.188   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-cluster-migrator-25nn7                              0/1     Completed                0               10h    <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-cluster-service-6f4c96fb95-tgbvc                    1/1     Running                  2 (150m ago)    11h    192.168.0.29    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-datavolumes-5b9c87cdfc-h88jg                        1/1     Running                  1 (150m ago)    11h    192.168.0.240   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
